questionAnswer,questionContent
A,感染性生物材料如微生物的培养基、标本等应：
D,对动物实验室的器材进行消毒灭菌效果最好的设备是：
D,一级生物安全防护实验室需要的安全设备和个体防护不包括：
C,艾滋病病毒（第2类病原微生物）的培养（血清学实验除外）应在几级生物安全防护实验室中进行？
A,下列哪个环节不会带来相关人员感染的危险：
C,发生人畜共患病时，须立即向学校有关机构报告，同时还必须立即向当地（    ）报告。
D,生物安全实验室中个体防护用品不包括：
B,生物安全柜内少量洒溢，没有造成严重后果属于：
B,使用生物安全柜时，下列哪种操作是错误的：
A,如果在微生物实验中出现意外事故（如菌种管打破等），应立即用什么来清洁桌面、洗手等，及时杀灭细菌和病毒，避免污染面扩大？
B,涉及病原微生物的实验材料在匀浆或搅拌后，容器应在什么设施内开启
A,湿热灭菌是利用热的作用来杀菌，通常在什么设备中进行：
C,关于使用生物实验材料注意事项说法错误的是：
B,关于高致病性病原微生物的采购与保管，不合规的是：
A,根据所操作的生物因子的危害程度和采取的防护措施，将生物安全的防护水平分为四级，哪一级的防护水平最低。
C,以下哪项属于化学消毒灭菌方法？
B,下列关于生物安全柜的说法哪项是不正确的：
A,在生物医学实验室中进行有害微生物和转基因操作，应使用：
B,生物安全柜主要原理：
D,洗手/清除手部污染时， 其中错误的操作是：
D,关于生物安全实验室人员管理，下列做法错误的是：
D,实验动物的生物安全性，指的是涉及动物的：
C,生物安全实验室内离心机的操作，以下哪项是错误的：
A,依照实验室生物安全国家标准的规定，什么场所不得从事高致病性病原微生物实验活动？
C,二级生物安全实验室必须配备的设备是：
B,用于饲养实验动物或进行动物实验的设施或部门 ，必须具备：
D,实验室生物安全防护的内容不包括：
A,在以下实验室安全工作行为中哪些是正确的：
B,下列有关生物安全实验室安全防范设施布置原则错误的是：
A,实验室常用于皮肤或普通实验器械的消毒液是：
C,实验动物使用许可证的有效期为：
D,进行动物实验设计时，为避免对实验动物造成不必要的伤害，应遵循哪项原则：
C,涉及生物安全性的动物实验，必须在哪一种实验室中进行？
C,下列生物实验废物处置行为错误的是：
B,感染动物实验完成后，动物尸体及废弃物转移出特殊实验室前，应采取哪种方法处理？
D,开展动物实验过程中，以下哪些做法是正确的：
C,实验解剖用过的无污染动物尸体，应：
C,对人类而言，下列那种情况不属于生物威胁的来源？
D,实验室生物安全等级分四级，哪级生物安全防护要求最高？
"A,B",高致病性病原微生物是指：
"A,B,C,D",新建、改建、扩建（BSL-3/ABSL-3）、四级（BSL-4/ABSL-4）实验室时应遵的规定是：
"A,B,C,D",属于有资质出售病原微生物菌（毒）种的单位的是：
"A,B,C,D",关于病原微生物实验室工作人员专项培训的重点内容包括：
"A,B,C,D",下列哪种情况不得进入开展高致病性病原微生物相关实验的实验室？
"B,C,D",属于第二类病原微生物的是？
"A,B,C,D",生物类实验室的常见安全风险来源包括：
"A,B,D",根据微生物控制程度将实验动物环境分为：
"A,B,C",以下哪些物品具有感染性？
"A,B,D",下列情况属于生物危害来源的是：
"A,D",无菌室经常定期用（    ）消毒溶液擦拭墙、地面、桌椅及一切用具。
"A,B,C,D",使用生物材料的特别注意事项是：
"A,B,C,D",生物医学实验室中，如何安置、处理实验服：
"A,B,C,D",病原微生物的危害程度分类主要应考虑以下哪些因素？
"A,B,C,D",引起实验室感染的可能性与下述哪些因素相关？
"A,B,C",关于利器处理应该：
"A,B,C,D",生物医学实验室中个人防护用品包括：
"B,D",下列哪项措施不是减少气溶胶产生的有效方法？
"A,B",高致病性病原微生物是指哪几类？
"A,B,C,D",下面哪些行为不能在洁净室里进行？
"A,B,C,D","
CO2培养箱使用注意事项：

"
"A,C",实验室在相关实验活动结束后，依照国务院卫生主管部门或者兽医主管部门的规定，病原微生物菌（毒）种和样本应该怎样处理？
"A,B,C,D",避免感染物质的注入，下列哪些操作正确？
"A,B,C",移液管和辅助移液器的使用正确的有：
2,放射源储存库房应采取专人双锁，专人管理，并做好相关情况登记。
1,核材料发生被盗、破坏和丢失时，应先开展自查，然后上报给公安部门和国家核材料办公室。
2,放射性物质转移向学校和公安部门备案后即可自备车辆转运。
1,废弃的放射源，必须报学校实验室安全主管职能部门，由学校实验室安全主管职能部门联系有资质的单位进行收贮，不得私自处理。
2,辐射工作人员进入实验场所须佩带个人剂量计，人不在场，可把个人剂量计放在辐射工作场所。
1,进入同位素室工作时应穿戴防辐射工作服、鞋子、手套、面罩等。
2,辐射工作场所的入口处可以不必放置辐射警示标识和工作信号。
1,辐射工作人员按时参加每两年一次的放射性职业体检。
1,在批准使用放射性核素之前，必须取得放射性培训合格资质，实行持证上岗。
2,X射线检查时候，对于甲状腺不必采用专门的屏蔽保护。
1,CT检查应尽量排除妊娠妇女和儿童作为受检者。
2,只要有辐射许可证，可以不管其规定的范围从事各类放射性同位素和射线装置生产、销售、使用活动。
1,透视检查的辐射量往往大于拍摄检查，应尽量减少。
1,未经环保部门批准，不得擅自进口、转让放射性同位素。
1,核材料累积调入或生产核材料数量小于规定限额的，可免办理核材料许可证。
D,辐射安全许可证需要每（    ）办理一次延续手续。
C,辐射单位工作人员职业健康检查的周期是：
B,辐射安全与核材料管制的资质与人员要求，错误的是：
A,下列对人类伤害较大的辐射是：
C,取得辐射安全合格证的工作人员再培训时间间隔是：
D,人员从事辐射工作应具有：
A,辐射设施和场所的管理和警示，不正确的是：
A,电离辐射对身体的影响主要是：
B,放射性物质转入单位应在每次转让前向：
C,放射性物质的转运错误的是：
B,X射线机应配备的符合防护要求的各种辅助防护用品不包括：
B,关于短半衰期放射性废弃物的处置正确的是：
A,辐射工作单位应取得：
D,废旧放射源的处置应：
A,以下对放射性垃圾的安全管理不正确的是：
"A,B,C,D",放射性同位素的防护措施包括：
"A,C,D",辐射安全许可的获得存在的错误和隐患有：
"A,B,C,D",符合核材料许可证持有单位资质与人员要求的是：                                                                                                                                                                                                    
"A,C,D",辐射场所设施具体要求有：
"A,B,D",学校放射性物质的采购、转移和运输的工作要求有：
"A,B,C,D",放射性实验应当采取的防护性措施有：
"A,C,D",实验室的微波炉使用时，应注意：
"B,C,D",放射性装置操作流程、安保方案及应急预案应：
"A,B,C",医用放射性废弃物处理方法包括：
1,在仪器设备的常规管理中，要建立设备台账，设备上有资产标签，设备台账有明确的管理人员。
2,电气设备可以不接地或无接地保护措施就投入使用。
2,数控机床周边，物品可以随意堆砌，物品可以放置于数控机床的床头、床面、刀架上。
1,操作机械设备时，个人防护装备要穿戴齐全，如工作服、工作帽、工作鞋、防护眼镜等。
1,各种电气设备及电线应始终保持干燥，防止浸湿，以防短路引起火灾，或烧坏电气设备。
1,对容易产生静电的场所，要保持空气湿润，实验人员要穿防静电的衣服和鞋靴。
1,功率较大的激光器有互锁装置、防护罩，激光照射方向不会对他人造成伤害，应防止激光发射口及反射镜上扬。
2,在激光设备工作时，无需工作标识提示。
1,在粉尘爆炸危险场所必须安装防爆灯、防爆电器开关等类型的电气设备。
2,在产生粉尘的实验场所内无需穿戴防静电服装。
2,激光对眼睛的伤害比对皮肤的伤害要轻的多。
1,对粉尘场所进行清理，应当采用不产生会火花、静电、扬尘的方法进行清尘作业。
2,爆炸性粉尘场所清扫粉尘时可以使用铁铲进行铲粉作业。
1,粉尘作业清扫时，应正确佩戴防尘口罩、护耳器等个人防护用品。
2,沉积的粉尘不能发生爆炸，只有悬浮的粉尘才能发生爆炸。
D,大型、特种设备的安全操作规程应该怎样张贴
C,存在粉尘爆炸危险的工艺设备应当采用泄爆、隔爆、惰化、抑爆、抗爆等一种或者多种控爆措施，但不得单独采取（    ）措施。
B,操作钻床时，如果采用手动进刀，事先应该
A,数控车床在车削加工时必须：
A,淬火油槽内不能有水，油量不能过少，一般液面应控制在油槽的（    ）处，以免发生火灾
B,使用钻床钻孔时，工件是否需要牢固可靠地装夹？
A,对数控机床数控系统内部存储的所有参数，应注意：
C,设备运行中，发现试件装歪了，可以：
C,在一般环境条件下允许人体持续接触的安全电压是
B,当发现眼睛可能进了粉屑，应采取措施：
B,在钻床上钻削小工件时，是否可以直接用手拿
B,大型仪器一般都使用计算机进行控制。计算机与仪器之间的数据传输线在何种情况下进行装卸？
B,进行激光操作时，不能佩戴
B,动火作业时，氧气、乙炔气瓶距明火距离不能小于：
D,在粉尘浓度较高的场所内应配备、安装加湿装置，使湿度在（    ）以上。
A,起模针及气孔针在使用后，应该：
B,在铣削中清理切屑时，应使用
C,在打磨机上操作时，应如何增加或减少压力?
D,最易受激光损害的器官是
B,不会发生爆炸的粉尘是
A,造型时吹开分型砂可用下列哪种方式：
B,有关激光实验室安全管理错误的是
B,模型工具使用后应如何放置？
D,对刚浇注完的铸件，应如何进行处理？
B,意外受激光照射后应
C,对铸件进行落砂清理时，应注意什么事项？
B,关于激光器的位置，叙述不正确的是
A,车削开始前要进行极限位置检查的原因是：
A,锻造过程中，对站立位置有何要求？
A,下列属于爆炸性金属粉尘的是
C,车床的极限位置检查的方法是：
A,锻造过程中，脚踩踏杆时，要注意什么事项？
D,以下情况中可能构成粉尘爆炸点火源的是
C,使用车床切削工件时要先锁紧：
A,粉尘爆炸是一类特殊的燃烧现象，它也需要可燃物、氧气和
B,锻造过程中，不锤击时，应注意什么事项？
B,锻造过程中，对于尚未冷却透的锻件，应注意：
B,使用电气设备按有关工作规程，其外壳应有什么防护措施？
C,在铣床上装卸工件时，工作台位置应保证：
A,金属梯子不适宜以下什么工作场所？
B,在冲压过程中，如果工件卡在模子里，应如何处理？
C,在铣床快速进给时，应注意：
C,配电盘（箱）、开关、变压器等各种电气设备附近不得：
A,在冲压过程中，装卸工件时，应注意什么事项
B,铣床对刀时，应保证：
A,手动操作数控铣床，为了确定不会超程或撞到机床的其它设施，应检查当前的什么？
A,使用手锯锯工件快要锯断时，哪种做法是正确的：
D,数控电火花线切割机床在正常加工时，突然有烧焦气味从机床电器柜中传出，应采取哪种处理措施？
A,使用钻床时，是否可以戴手套操作？
D,在钻床上，使用手动进刀时，应如何增加或减小压力？
C,锉削加工中锉刀暂时不用时，应放在工作台的什么位置上？
"A,B,C",设计自研自制设备时，需要（    ）才能投入使用。
"A,B,C",工作人员进行2m以上高空临边、攀登作业前应：
"A,B,C,D",对高压、大电流等强电实验室要设定安全距离，按规定设置：
"A,B,C,D",激光器的操作要求有：
"A,C,D",粉尘作业的场所应注意的安全事项：
"B,C,D",下列粉尘中，可能会发生爆炸的是：
"A,B,C,D",实验室粉尘的控制与防护应当注意哪些？
"A,B,C",激光测速实验需要注意：
1,起重机械作业人员应经培训合格，取得特种设备作特种设备安全管理和作业人员证，持证上岗。
1,学校应当对在用的起重机械进行经常性维护、保养，定期自行检查，并做出记录。
1,场（厂）内专用机动车辆是指仅在工厂厂区、学校校园、实验室库房、游乐场所等特定区域使用的专用车辆。
2,场（厂）内专用机动车辆无需取得场（厂）内专用机动车牌照。
1,在使用高压灭菌锅、烤箱等高压加热设备时，必须有人值守。 
B,额定起重量大于等于（    ）且提升高度大于等于2m的起重设备应取得特种设备使用登记证，低于额度限定值的可不办理特种设备使用登记证。
D,实验室冰箱和超低温冰箱使用注意事项中，错误的是：
C,"使用行车时,应注意："
D,特种设备作业人员证每（    ）年复审1次，以确保证书在有效期内。
B,在烘箱使用过程的应注意事项中，以下错误的是：
A,压力大于（    ）且容积大于30L的压力容器，可以作为是否属于特种设备的初步判断依据：
A,在使用设备时，如果发现设备工作异常，怎么办
D,冰箱有使用年限，其压缩机使用过久容易发生火灾，一般使用期限应控制为（    ）。
D,冰箱周围应留出足够空间，一般应离墙（    ）以上。
"A,B,C,D","高温实验装置使用时，应注意的事项是:  
"
"A,B,C,D",实验室中常常用到一些压力容器（如高压反应釜、气体钢瓶等），下列被严格禁止的行为是： 
"B,C,D",安全阀的校验规定的主要内容是：
"A,C,D","永久气体气瓶爆炸事故主要是由于（    ）造成的？ 
"
"B,C,D",压力表的检定规定的主要内容是：
"A,B,D","气体钢瓶的正确处理：
"
"A,B,C,D","
正确使用气体钢瓶的原则是："
"A,B,C,D",学校对特种设备安全的检查或抽查内容有:
"A,B,C,D",起重机械的操作规程、标识及防护措施有：
